"page_name","funding_entity"
"Greater Kansas City Women's Political Caucus","the Greater Kansas City Women's Political Caucus"
"James Thompson for Kansas","James Thompson for Kansas"
"James Thompson for Kansas",NA
"Laura Lombard for Congress","Laura for Kansas"
"Marci Francisco for Kansas State Treasurer","Marci for Kansas Treasurer, Michael Delaney, Treasurer"
"Kansas Republican Party","The Kansas Republican Party "
"Kansas Democratic Party","Kansas Democratic Party"
"Alexandria Ocasio-Cortez","Alexandria Ocasio-Cortez 2018"
"Alan LaPolice","Alan LaPolice for Congress"
"Kansas Farmers Fund","Kansas Farmers Fund"
"Kansas Electric Cooperatives, Inc.","Kansas Electric Cooperatives "
"Progressive Democrats of the 13th Senate District of Kansas","Progressive Democrats of the 13th Senate District of Kansas"
"John W. Carlin","John W. Carlin"
"Douglas County Democratic Party (Kansas)","the Douglas County Democratic Party, Jim Beach Treasurer"
"Marshall County Democratic Party","Marshall County Democratic Party, Marysville Kansas"
"Ryan Paul Davis",NA
"Hampton Institute","Hampton Institute"
"Alan LaPolice for Congress","Alan LaPolice for Congress"
"Riley County Democratic Party","John W. Carlin"
"Time For a New KS Big 1st District Representative",NA
"Ron Estes","Estes for Congress"
"Wichita Pachyderm Club","John Todd "
"Vickie Yates Brown Glisson","Glisson for Congress"
"Andy Barr",NA
"Kentucky Democratic Party","the Kentucky Democratic Party"
"Kentucky Bankers Association",NA
"Amy McGrath","Amy McGrath for Congress"
"Kentucky Local News",NA
"Kentucky National Organization for Women","Kentucky National Organization for Women"
"Brett Guthrie","Guthrie for Congress"
"Steve Sheldon","Steve Sheldon for State Representative campaign"
"Paul Walker for Congress","the Committee to Elect Paul Walker"
"Paul Walker for Congress",NA
"Rob Walker for Ky House","Rob Walker for Ky House"
"Henderson County Democratic Party","by the Henderson County Democratic Party"
"Americans for Prosperity - Kentucky","Americans for Prosperity"
"Congressman James Comer","official funds authorized by the House of Representatives."
"Comer for Congress","Comer for Congress"
"Free the People","Free the People"
"Savannah Maddox for State Representative-61st District","Savannah Maddox for State Representative"
"Hank Linderman","Hank4KY"
"Hank Linderman",NA
"Maria Sorolis for Kentucky - Sorolis4Kentucky","Maria Sorolis for Kentucky Campaign"
"Aron Axe for Delegate",NA
"Morgan Eaves for District 81 State Representative","Morgan Eaves for State Representative "
"Effie's Heart",NA
"Rural Journalism",NA
"Linda Gorton For Mayor","Linda Gorton for Mayor"
"Fayette County Democratic Party","Fayette County Democratic Party (KY)"
"Republican Women for Progress PAC","Republican Women For Progress PAC"
"VoteVets.org","VoteVets Action Fund"
"With Honor",NA
"State Representative McKenzie Cantrell","McKenzie Cantrell for State Representative"
"Sheri Donahue for Kentucky State Senate","Sheri Donahue for Kentucky State Senate"
"Democratic Socialists of America - Louisville","Democratic Socialists of America - Louisville"
"Josie Raymond for State Representative","Friends of Josie Raymond"
"Diane Seaman for Ky House","Seaman for KY House"
"Seth Hall for Congress",NA
"Seth Hall for Congress","Seth Hall for Congress"
"Seth Moulton","Seth Moulton for Congress"
"Mike Johnson","Mike Johnson for Louisiana"
"Love Maui","Linda Love and Mike Williams, PO Box 762 Kula, HI.  Published without the approval of the candidates."
"Save Lakewood","Save Lakewood"
"Olysha for Florida Senate","Olysha Magruder for FL Senate, D8"
"Ohio Advocates for Medical Freedom",NA
"LaTonya Johnson","Office of State Senator LaTonya Johnson"
"Central Valley Progressive PAC","The Central Valley Progressive PAC"
"Eric Larsen for Assembly","Eric Larsen for Assembly, Bob Schwartz Treasurer"
"Congressman Mike Johnson","the Office of Rep. Mike Johnson"
"Congressman Mike Johnson",NA
"Dr Phillip Conner for U.S. Congress",NA
"LA-CAN-Louisiana Citizens Action Network",NA
"LaPolitics",NA
"Captain Clay Higgins","Captain Higgins For Congress"
"Congressman Clay Higgins","Office of Congressman Clay Higgins"
"The Bayou Brief","The Bayou Brief"
"Jim Francis for U.S. Congress","Jim Francis for Congress"
"The Voice of Louisiana Agriculture","Louisiana Farm Bureau Federation"
"The Louisiana Experience, LLC",NA
"Competitive Enterprise Institute","the Competitive Enterprise Institute "
"Senator Sharon Hewitt","Sharon Hewitt Campaign"
"Steve Scalise","Scalise for Congress"
"Jesse Schmidt for US Congress La 2nd District","Jesse Schmidt"
"Jesse Schmidt for US Representative","Jesse Schmidt"
"Vote Mimi Methvin","Vote Mimi Methvin"
"Ryan Trundle for Congress","Paid for by People for Ryan Trundle"
"Justin Dewitt for U.S. Congress","DeWitt for Congress"
"Adams County Democratic Party",NA
"Josh Guillory for Congress","Josh Guillory for Congress"
"Joe Sam Queen","Friends of Joe Sam Queen"
"Judge Jim Walther",NA
"Dr Phillip Conner for U.S. Congress","Dr. Phillip Conner for US Congress"
"Tammy Savoie for Congress","the Committee to Elect Tammy Savoie"
"Tammy Savoie for Congress",NA
"Andie Saizan for U.S. Congress","Andie Saizan For US Congress"
"Andie Saizan for U.S. Congress",NA
"Central City News","Community Press, LLC"
"Put Louisiana First","Put Louisiana First. Not authorized by any candidate or candidate comittee."
"Louisiana Automobile Dealers Association",NA
"Jessee Carlton Fleenor for Congress 2018","Vote Jessee Fleenor"
"Ralph Abraham","Ralph Abraham "
"Ralph Abraham",NA
"Louisiana Taxpayers First","Louisiana Taxpayers First"
"Robert Jon Anderson","Rob Anderson for Congress"
"Maine Credit Union League","Member communication by Credit Union National Association and Maine Credit Union League on behalf of credit unions in Maine."
"Demand More For Maine","DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee."
"Lucas St. Clair for Congress","St. Clair for Congress"
"Craig Olson For Congress","Craig Olson for Congress"
"MAINE TWO","Richard S. Sloan"
"Jared Golden for Congress","Committee to Elect Jared Golden"
"Maine GOP Vets",NA
"Jared Golden for Congress",NA
"Stand Up Susan","Protect Our Care Maine"
"Bruce Poliquin",NA
"YouGov",NA
"Marty Grohman for Congress","Grohman for Congress"
"Maine AFL-CIO","the Maine AFL-CIO"
"Maine AFL-CIO","the Maine AFL/CIO. Not authorized or paid for by any candidate."
"Chellie Pingree","Pingree for Congress"
"Liz Matory for Congress","Liz Matory for Congress Committee"
"Mark Uncapher","Mark Uncapher"
"Amie Hoeber for Maryland","Amie Hoeber for Congress"
"Chris Hearsey","Hearsey for Congress"
"Chris Hearsey",NA
"David Trone",NA
"Mike Dreisbach for District 1A Delegate","Citizens for Mike Dreisbach"
"Dave Bishop for Congress","Elect Dave Bishop"
"Dave Bishop for Congress",NA
"Flacc 4 Congress","Flaccavento for Congress"
"Lorig Charkoudian for Delegate","Friends of Lorig Charkoudian, "
"Lorig Charkoudian for Delegate","Friends of Lorig Charkoudian, Jill Feasley, Treasurer, Tebabu Assefa, Chair"
"Emily Shetty - Democrat for MD D18 Delegate","Friends of Emily Shetty. Tonya Saffer, Treasurer."
"Dana Beyer MD","Friends of Dana Beyer, Christine Grewell, Treasurer"
"National Press Club","The National Press Club"
"Wicomico County Democratic Central Committee","Wicomico County Democratic Central Committee, Treasurer: Ivory Smith."
"BookTV","C-SPAN"
"Bill Conway for Council","Bill Conway for Council, Ira Goldstein, Treasurer "
"Kathy Szeliga","Friends of Kathy Szeliga, Colleen Dunlap, Treasurer"
"Baltimore County Democratic Party","By Authority: Baltimore County Democratic Central Committee, Douglas Sentz, Treasurer."
"Jesse Colvin","Jesse Colvin for Congress"
"Kent County Republican Central Committee","Tatiana Croissette"
"Cecil County Progressive Caucus",NA
"Andy Ellis For State Delegate-MD 45","People for Steven A. Ellis, Dana Polson Treasurer "
"Nino Mangione","Friends of Nino Mangione. Lawrence Hineline, Treasurer."
"Allison Galbraith","Allison for Congress"
"Andy Harris","Andy Harris for Congress"
"Harford Mall's Sino Wok Chef","#flipthefirst"
"Amie Hoeber for Maryland",NA
"Upper Eastern Shore Libertarians","the Libertarian Party of Maryland and not authorized by any candidate or candidate's committee. By authority of Michael Linder, Treasurer."
"Jenica Martin for Congress MD District 1",NA
"Ben Jealous","Friends of Ben Jealous, Jason Small, Treasurer"
"ACLU MD Education","American Civil Liberties Union of Maryland"
"Delegate Brooke Lierman","Brooke Lierman for Delegate; Eben Hansel, Treasurer. "
"Sen. Nathaniel McFadden","Nathaniel J. Mcfadden for Senate, John Etoh, Treasurer"
"Katie Fry Hester, Maryland Senate D9","Friends of Katie Fry Hester"
"Delegate Dr. Jay Jalisi","Friends of Jalisi - Keith Timmons, Treasurer"
"Maryland Democratic Party","the Maryland Democratic Party, and not authorized by any candidate or candidate's committee. By authority of Robert J. Kresslein, Treasurer."
"Julian Jones for Baltimore County Council Dist.4","Julian Jones"
"Rdavisforcongress","Davis for Congress"
"Elijah Cummings","Cummings for Congress"
"Mary Lehman for Delegate MD 21",NA
"Anthony Brown","Congressman Anthony G. Brown"
"Peter Franchot","Friends of Peter Franchot; Tom Gentile, Treasurer"
"Cecil County Progressive Caucus","Cecil County Progressive Caucus"
"Jesse Colvin",NA
"Pro-Truth Pledge","Pro-Truth Pledge monthly donors (average donation of $25)"
"Davis for NC House","Citizens for Joey Davis"
"Rdavisforcongress",NA
"Adam DeMarco for Congress","the Committee to Elect Adam DeMarco"
"John Sarbanes","Friends of John Sarbanes"
"The Great American Eat Off","Gail Kasper For Animal Rescue And Animal Adoption"
"Stephen F. Lynch","Lynch for Congress Committee. Brian Miller, Treasurer"
"Hernandez for Congress","Carlos Armando Hernandez"
"Joseph Schneider for Congress","Schneider For Congress"
"Rick Green",NA
"Grand Opportunity USA",NA
"FLAP TV","FLAPTV"
"EqualityMaine",NA
"John MacDonald for State Senate",NA
"AARP MA","AARP Massachusetts"
"FairVote","FairVote"
"Lori For US Congress","Lori Trahan for Congress"
"Clinton Democratic Town Committee","the Clinton MA Democratic Town Committee"
"FLAP TV",NA
"Juana Matias","Juana Matias for Congress"
"Pat Ryan for Congress","Patrick Ryan for Congress"
"Abigail Spanberger","Spanberger for Congress"
"Veterans for Abigail Spanberger","George DeSerres"
"Voter Choice Massachusetts","Voter Choice Massachusetts"
"The Committee to Elect Anne Landry","The Committee to Elect Anne Landry"
"Marjorie Decker","Friends of Marjorie Decker"
"Joe Kennedy III","Joe Kennedy for Congress."
"Joe Kennedy III",NA
"Anita Burroughs for NH","Anita Burroughs for New Hampshire"
"Vitollo for Congress","The Committee to Elect Joe Vitollo For Congress"
"Bill Cimbrelo for Congress","Bill Cimbrelo for U.S. Congress"
"Peter Tedeschi for Congress","Tedeschi for Congress"
"Cape Cod & Islands Association of REALTORS","CCIAOR"
"Mike Mullen","Committee to Elect Mike Mullen"
"Peter Tedeschi for Congress",NA
"Pamela ""Pam"" Harris for Oakland City Council, District 4","Pamela Harris for Oakland City Council 2018"
"Taylor for Ward 2","Friends of D'Angelo Taylor"
"Indivisible Guide","Indivisible Action"
"Ayanna Pressley",NA
"Ayanna Pressley","the Committee to Elect Ayanna Pressley"
"Jay McMahon for Massachusetts Attorney General","The Jay McMahon Committee"
"Citizen SHE",NA
"Barbara Lee","Barbara Lee Political Office"
"Citizen SHE","Citizen SHE United"
"MIRA: Massachusetts Immigrant & Refugee Advocacy Coalition","Massachusetts Immigrant and Refugee Advocacy Coalition"
"Clearing out the Clutter","Clearing out the Clutter.  The views expressed are those of the author only."
"People's World","People's World"
"Salt Lake County Democratic Black Caucus","Salt Lake County Black Democrats"
"PR (Proportional Representation) Party","Friends of PR"
"Jamal Simmons","Jamal Simmons"
"International Brotherhood of Electrical Workers, Local 103","IBEW Local 103"
"Elect 435","435 Labs"
"Tahirah Amatul-Wadud","Committee to Elect Tahirah Amatul-Wadud"
"Congressman Richard Neal","Richard Neal for Congress Committee, Treasurer Michael F. Hall"
"Steven J Greene for Michigan House District 34","The Committee to Elect Steve Greene"
"Rick Neal for U.S. Congress","Rick Neal for Congress"
"Steve Lough for Congress",NA
"Elissa Slotkin for Congress","Elissa Slotkin for Congress"
"Niles Niemuth","Niles Niemuth for Congress 2018"
"Mike Bishop","Mike Bishop for Congress"
"Chris Smith for Michigan","Chris Smith for MIchigan"
"Livingston County Progressives","Livingston County Progressives"
"Dr. Rob Davidson","Committee to Elect Rob Davidson"
"The Fighting for Families Fund","the Michigan Democratic State Central Committee | 606 Townsend St. Lansing, MI 48933"
"West Michigan Families First","the Michigan Democratic State Central Committee, 606 Townsend St. Lansing, MI 48933"
"Dr. Rob Davidson for Congress","Committee to Elect Rob Davidson"
"Lake County Democratic Party - Michigan","Lake County Democratic Party - Michigan"
"Tonya Schuitmaker","Tonya Schuitmaker for Michigan"
"Bill Huizenga",NA
"JFS of Washtenaw County",NA
"Citizens Research Council of Michigan","Citizens Research Council of Michigan"
"Michigan Talent Agenda","Paid for with regulated funds by Inspire Michigan PAC 2030 Hill St, Ann Arbor, MI 48104"
"Anne Brown for Ypsi Mayor","Friends of Anne Brown"
"Debbie Dingell","Debbie Dingell for Congress"
"Abdullah Hammoud","Friends of Abdullah Hammoud. PO BOX 2719, Dearborn, MI 48123"
"Jocelyn Benson","Jocelyn Benson for Secretary of State P.O Box 21368 Detroit, MI 48221 "
"United for Progress","United for Progress"
"Rashida Tlaib For Congress","RASHIDA TLAIB FOR CONGRESS  |  P.O. BOX 32777, DETROIT, MI 48232"
"The Muslims Are Coming","Dean Obeidallah"
"Climate Hawks Vote","Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee."
"Arab America",NA
"American Jewish World","American Jewish World"
"The New Media Firm","The New Media Firm"
"United for Progress","United for Progress, P.O. Box 10030, Lansing, MI 48901"
"Rashida Tlaib For Congress",NA
"The Refugee Center Online","The Refugee Center Online"
"Sarah Schulz - Candidate for State Rep, Michigan 98","Friends of Sarah Schulz"
"Kevin Jones for Congress",NA
"Kimberly Bizon for Congress","Committee to Elect Kimberly Bizon"
"Kimberly Bizon for Congress",NA
"Cooper Nye for Congress","Cooper Nye for Congress "
"Haley Stevens","Haley Stevens for Congress"
"MDWCOMM","MDW Communications LLC for promotional purposes only. No promotion is done on behalf of any campaign, political committee, or organization."
"The Arena","The Arena PAC"
"Gary Glenn for State Senate",NA
"Jeremy Peruski for US Congress","Jeremy Peruski for Congress"
"Niles Niemuth",NA
"Candius Stearns for Congress","Candius Stearns for Congress"
"Gretchen Driskell for Congress","Gretchen Driskell  for Congress"
"English Cameroon for a United Cameroon","English Cameroon for a united Cameroon"
"Steve Friday for US Congress","The Committee:  Friday for U.S. Congress"
"Matt Morgan","the Committee to Elect Morgan for Michigan"
"Alpena County Democratic Party","Alpena County Democratic Party"
